=================================================
[13:19:03] Game: d6506ebf
[Lee song] vs [The rock]
[1][1/3][The rock]Normal attack
[2][2/3][The rock]Normal attack
[3][3/3][The rock]Normal attack
[4][1/3][Lee song]Missed move.
[5][2/3][Lee song]Normal attack
[6][3/3][Lee song]Normal attack
[7][1/3][The rock]Normal attack
[8][2/3][The rock]Normal attack
[9][3/3][The rock]Normal attack
[10][1/3][Lee song]Normal attack
[11][2/3][Lee song]Normal attack
[12][3/3][Lee song]Missed move.
[13][1/3][The rock]Normal attack
[14][2/3][The rock]Normal attack
[15][3/3][The rock]Normal attack
[16][1/3][Lee song]Normal attack
[17][2/3][Lee song]Normal attack
[18][3/3][Lee song]Normal attack
[19][1/3][The rock]Missed move.
[20][2/3][The rock]Normal attack
[21][3/3][The rock]Normal attack
[22][1/3][Lee song]Missed move.
[23][2/3][Lee song]Normal attack
[24][3/3][Lee song]Missed move.
[25][1/3][The rock]Normal attack
[26][2/3][The rock]Normal attack
[27][3/3][The rock]Normal attack
[28][1/3][Lee song]Normal attack
[29][2/3][Lee song]Normal attack
[30][3/3][Lee song]Normal attack
[31][1/3][The rock]Normal attack
[32][2/3][The rock]Normal attack
[33][3/3][The rock]Normal attack
[34][1/3][Lee song]Normal attack
[35][2/3][Lee song]Normal attack
[36][3/3][Lee song]Normal attack
[37][1/3][The rock]Normal attack
[38][2/3][The rock]Normal attack
[39][3/3][The rock]Normal attack
